ID,nom,fonction,annees,statut,parent,public,similaire-a,wikidata,comptoir-du-libre,licence,secteur,composant,contexte-usage,groupe,version
54,GLPI,Gestion de parc et suivi d'incidents,2018 ; 2019 ; 2020,R,,,172,Q3104570,35,GPL-2.0-only,Opérations,Déploiement gestion d’actif et de configuration,,MIMO,9.3.4
55,Survey (questionnaire),Gestion de questionnaires pour GLPI,2019 ; 2020,O,GLPI,,,Q3104570,,AGPL-3.0-or-later,Opérations,Service level management,Gestion de parc,MIMO,9.3.1.0
56,Grammalecte,Correction grammaticale,2018 ; 2019 ; 2020,R,LibreOffice,,,,79,GPL-3.0,Espace utilisateur et canal,Consultation et édition de documents,,MIMO,1.7
57,Grammalecte,Correction grammaticale,2018 ; 2019 ; 2020,R,Firefox,,,Q17629243,79,GPL-3.0,Espace utilisateur et canal,Navigateur web,,MIMO,1.7
58,GreenShot,Capture d'écran,2018 ; 2019 ; 2020,R,,,,Q1544791,56,GPL-3.0,Espace utilisateur et canal,Consultation et édition de documents,,MIMO,1.2.10
59,H2,Base de données,2018 ; 2019 ; 2020,R,,,,Q1562670,194,,Conception & Développement,Test & Intégration,Poste développeur,MIMDEV,1.4.200
60,HAProxy,Load Balancer,2018 ; 2019 ; 2020,R,,,,Q5628948,237,,Réseau,Load Balancer,Services déconcentrés,MIMPROD,Distribution
61,Inkscape,Dessin (vectoriel),2018 ; 2019 ; 2020,O,,,,Q8041,68,GPL-2.0-only,Espace utilisateur et canal,Consultation et édition de documents,,MIMO,0.92.4
62,IS Designer,Environnement de développement,2019 ; 2020,O,,,,,319,,Conception & Développement,Modeleur,,MIMDEV,1.9.1
63,Jacoco,Couverture du code,2018 ; 2019 ; 2020,R,,,,Q6109486,182,,Conception & Développement,Qualité et sécurité du code source,,MIMDEV,0.8.5
64,Jailer,Génération / Gestion des jeux de données,2018 ; 2019 ; 2020,R,,,,,192,,Conception & Développement,Test & Intégration,,MIMDEV,9.0
65,Javamelody,Outil de monitoring,2018 ; 2019 ; 2020,R,,,,,195,Apache-2.0,Conception & Développement,Test & Intégration,,MIMDEV,1.81.0
66,Jenkins,"Outil d'aide à la livraison (dépôt, intégration continue...)",2018 ; 2019 ; 2020,R,,,,Q7491312,187,MIT,Conception & Développement,Test & Intégration,,MIMDEV,2.x
67,Jitsi,Webconférence,2018 ; 2019 ; 2020,R,,,,Q58427,65,Apache-2.0,Espace utilisateur et canal,Visiophonie,,MIMO,2.9
